record_id,indicator_id,source_id,footnotes_id,members_id,value
r0001,5578,4237,,"222,29160",4.02
r0002,5578,4237,,"222,29161",4.09
r0003,5578,4237,,"222,29162",4.09
r0004,5578,4237,,"222,29163",4.09
r0005,5578,4237,,"222,29164",4.13
r0006,5578,4237,,"222,29165",4.23
r0007,5578,4237,,"222,29166",4.19
r0008,5578,4237,,"222,29167",4.31
r0009,5578,4237,,"222,29168",4.39
r0010,5578,4237,,"222,29169",4.43
r0011,5578,4237,,"222,29170",4.48
r0012,5578,4237,,"222,29171",4.56
r0013,5578,4237,,"222,29172",4.68
r0014,5578,4237,,"222,29173",4.71
r0015,5578,4237,,"222,29174",4.9
r0016,5578,4237,,"222,29175",4.91
r0017,5578,4237,,"222,29176",4.86
r0018,5578,4237,,"222,29177",4.93
r0019,5578,4237,,"222,29178",4.97
r0020,5578,4237,,"222,29179",4.81
r0021,5578,4237,,"222,29180",5.21
r0022,5578,4237,,"222,29181",5.26
r0023,5578,4237,,"222,29182",5.42
r0024,5578,4237,,"222,29183",5.52
r0025,5578,4237,,"222,29184",5.66
r0026,5578,4237,,"222,29185",5.51
r0027,5578,4237,,"222,29186",5.29
r0028,5578,4237,,"222,29187",5.35
r0029,5578,4237,,"222,29188",5.16
r0030,5578,4237,,"222,29189",5.19
r0031,5578,4237,,"222,29190",5.14
r0032,5578,4237,,"222,29191",5.46
r0033,5578,4237,,"222,29192",5.42
r0034,5578,4237,,"233,29160",4.93
r0035,5578,4237,,"233,29161",5.07
r0036,5578,4237,,"233,29162",5.01
r0037,5578,4237,,"233,29163",5.11
r0038,5578,4237,,"233,29164",5.32
r0039,5578,4237,,"233,29165",5
r0040,5578,4237,,"233,29166",5.13
r0041,5578,4237,,"233,29167",5.3
r0042,5578,4237,,"233,29168",5.47
r0043,5578,4237,,"233,29169",5.27
r0044,5578,4237,,"233,29170",5.46
r0045,5578,4237,,"233,29171",5.39
r0046,5578,4237,,"233,29172",5.4
r0047,5578,4237,,"233,29173",5.56
r0048,5578,4237,,"233,29174",5.59
